Code,Searched keyword,Index,Job title,Company,Location,Min salary,Max salary,Link
210,ทหารชั้นประทวน,1,ธุรการฝ่ายวิชาการและประสานงาน(นิติศาสตร์),บริษัท เพื่อนเรียน 2000 จำกัด,เขตห้วยขวาง กรุงเทพมหานคร,"14,000","16,000",jobthai.com/th/company/job/1193442
210,ทหารชั้นประทวน,2,พนักงานบัญชี (เพศหญิง),บริษัท เพื่อนเรียน 2000 จำกัด,เขตห้วยขวาง กรุงเทพมหานคร,"17,000","20,000",jobthai.com/th/company/job/1200286
210,ทหารชั้นประทวน,3,ช่างประจำสำนักงาน,บริษัท เพื่อนเรียน 2000 จำกัด,เขตห้วยขวาง กรุงเทพมหานคร,"12,000","17,000",jobthai.com/th/company/job/1208536
210,ทหารชั้นประทวน,4,"Call Center หญิงมืออาชีพ  เงินเดือน 18,000-20,000",บริษัท เพื่อนเรียน 2000 จำกัด,เขตห้วยขวาง กรุงเทพมหานคร,"18,000","20,000",jobthai.com/th/company/job/1236539
210,ทหารชั้นประทวน,5,พนักงานขายออนไลน์ ประจำสำนักงาน (หญิง),บริษัท เพื่อนเรียน 2000 จำกัด,เขตห้วยขวาง กรุงเทพมหานคร,"15,000","17,000",jobthai.com/th/company/job/1245515
210,ทหารชั้นประทวน,6,"ผู้จัดการทีมขาย เงินเดือน 25,000",บริษัท เพื่อนเรียน 2000 จำกัด,เขตห้วยขวาง กรุงเทพมหานคร,"25,000",-,jobthai.com/th/company/job/1215555
210,ทหารชั้นประทวน,7,เจ้าหน้าที่ประชาสัมพันธ์นอกสถานที่ (PR),บริษัท เพื่อนเรียน 2000 จำกัด,เขตห้วยขวาง กรุงเทพมหานคร,"18,000",-,jobthai.com/th/company/job/1313591
210,ทหารชั้นประทวน,8,"พนักงานขายหญิง เงินเดือน 18,000 - 25,000 + คอมมิสชั่น",บริษัท เพื่อนเรียน 2000 จำกัด,เขตห้วยขวาง กรุงเทพมหานคร,"18,000","25,000",jobthai.com/th/company/job/1268323
210,ทหารชั้นประทวน,9,นักขายมืออาชีพ,บริษัท เพื่อนเรียน 2000 จำกัด,เขตห้วยขวาง กรุงเทพมหานคร,"25,000","50,000",jobthai.com/th/company/job/1324221
210,ทหารชั้นประทวน,10,นักวิชาการนิติศาสตร์ (เพศหญิง),บริษัท เพื่อนเรียน 2000 จำกัด,เขตห้วยขวาง กรุงเทพมหานคร,"18,000","20,000",jobthai.com/th/company/job/1252951
